time_stamp;pm2_5_atm
4/04/2021;11.70
4/04/2021;10.90
4/04/2021;13.40
4/04/2021;18.10
4/04/2021;18.50
4/04/2021;19.50
4/04/2021;13.30
4/04/2021;15.10
4/04/2021;23.50
4/04/2021;21.00
4/04/2021;21.00
4/04/2021;18.40
4/04/2021;12.90
4/04/2021;14.40
4/04/2021;11.80
5/04/2021;23.50
5/04/2021;21.10
5/04/2021;19.70
5/04/2021;16.40
5/04/2021;15.70
5/04/2021;10.20
5/04/2021;14.20
5/04/2021;15.10
5/04/2021;11.50
5/04/2021;13.20
5/04/2021;13.80
5/04/2021;16.00
5/04/2021;19.20
5/04/2021;24.90
5/04/2021;19.50
5/04/2021;17.10
5/04/2021;12.30
5/04/2021;10.10
5/04/2021;8.70
5/04/2021;8.50
5/04/2021;7.30
5/04/2021;6.70
5/04/2021;10.20
5/04/2021;9.90
6/04/2021;16.20
6/04/2021;12.00
6/04/2021;11.60
6/04/2021;14.20
6/04/2021;16.60
6/04/2021;13.10
6/04/2021;15.40
6/04/2021;16.10
6/04/2021;14.90
6/04/2021;16.10
6/04/2021;16.80
6/04/2021;17.20
6/04/2021;26.70
6/04/2021;23.30
6/04/2021;22.10
6/04/2021;9.30
6/04/2021;7.80
6/04/2021;7.80
6/04/2021;11.50
6/04/2021;11.40
6/04/2021;10.40
6/04/2021;6.90
6/04/2021;10.20
6/04/2021;13.40
7/04/2021;10.30
7/04/2021;9.40
7/04/2021;9.80
7/04/2021;10.60
7/04/2021;15.90
7/04/2021;7.70
7/04/2021;18.20
7/04/2021;13.30
7/04/2021;7.90
7/04/2021;7.90
7/04/2021;9.90
7/04/2021;12.90
7/04/2021;19.00
7/04/2021;16.50
7/04/2021;18.60
7/04/2021;11.80
7/04/2021;8.50
7/04/2021;9.30
7/04/2021;9.30
7/04/2021;6.60
7/04/2021;6.70
7/04/2021;7.60
7/04/2021;10.20
7/04/2021;11.00
8/04/2021;23.00
8/04/2021;9.90
8/04/2021;9.00
8/04/2021;11.20
8/04/2021;8.10
8/04/2021;7.20
8/04/2021;7.40
8/04/2021;7.90
8/04/2021;9.00
8/04/2021;8.20
8/04/2021;8.50
8/04/2021;15.40
8/04/2021;18.00
8/04/2021;17.60
8/04/2021;11.40
8/04/2021;6.20
8/04/2021;4.40
8/04/2021;6.00
8/04/2021;4.90
8/04/2021;4.80
8/04/2021;4.50
8/04/2021;5.20
8/04/2021;5.10
8/04/2021;6.90
9/04/2021;7.70
9/04/2021;9.00
9/04/2021;10.10
9/04/2021;8.00
9/04/2021;13.80
9/04/2021;6.80
9/04/2021;6.70
9/04/2021;6.70
9/04/2021;6.70
9/04/2021;7.30
9/04/2021;7.30
9/04/2021;7.60
9/04/2021;9.80
9/04/2021;11.60
9/04/2021;8.40
9/04/2021;9.80
9/04/2021;6.60
9/04/2021;7.00
9/04/2021;5.00
9/04/2021;3.80
9/04/2021;3.30
9/04/2021;3.80
9/04/2021;4.70
9/04/2021;5.80
10/04/2021;9.10
10/04/2021;9.40
10/04/2021;6.80
10/04/2021;6.30
10/04/2021;5.70
